Children,Income,Amount
1,139600,1274.0
1,139700,1275.0
1,139800,1276.0
1,139900,1277.0
1,140000,1278.0
1,140100,1279.0
1,140200,1280.0
1,140300,1280.0
1,140400,1281.0
1,140500,1282.0
1,140600,1283.0
1,140700,1284.0
1,140800,1285.0
1,140900,1285.0
1,141000,1286.0
1,141100,1287.0
1,141200,1288.0
1,141300,1288.0
1,141400,1289.0
1,141500,1290.0
1,141600,1291.0
1,141700,1292.0
1,141800,1293.0
1,141900,1293.0
1,142000,1294.0
1,142100,1295.0
1,142200,1295.0
1,142300,1296.0
1,142400,1297.0
1,142500,1298.0
1,142600,1298.0
1,142700,1299.0
1,142800,1300.0
1,142900,1301.0
1,143000,1301.0
1,143100,1302.0
1,143200,1303.0
1,143300,1303.0
1,143400,1304.0
1,143500,1305.0
1,143600,1306.0
1,143700,1306.0
1,143800,1307.0
1,143900,1308.0
1,144000,1309.0
1,144100,1310.0
1,144200,1311.0
1,144300,1311.0
1,144400,1312.0
1,144500,1313.0
1,149500,1352.0
1,149600,1353.0
1,149700,1353.0
1,149800,1354.0
1,149900,1355.0
1,150000,1356.0
2,12000,0.0
2,12100,11.0
2,12200,22.0
2,12300,33.0
2,12400,44.0
2,12500,55.0
2,12600,66.0
2,12700,77.0
2,12800,88.0
2,12900,99.0
2,13000,110.0
2,13100,114.0
2,13200,118.0
2,13300,121.0
2,13400,125.0
2,13500,129.0
2,13600,133.0
2,13700,136.0
2,13800,140.0
2,13900,144.0
2,14000,148.0
2,14100,151.0
2,14200,155.0
2,14300,158.0
2,14400,162.0
2,14500,165.0
2,14600,169.0
2,14700,172.0
2,14800,176.0
2,14900,179.0
2,15000,183.0
2,15100,186.0
2,15200,190.0
2,15300,193.0
2,15400,196.0
2,15500,200.0
2,15600,203.0
2,15700,207.0
2,15800,210.0
2,15900,213.0
2,16000,217.0
2,16100,220.0
2,16200,224.0
2,16300,227.0
2,16400,230.0
2,16500,233.0
2,16600,237.0
2,16700,240.0
2,16800,243.0
2,16900,246.0
2,17000,250.0
2,17100,253.0
2,17200,257.0
2,17300,260.0
2,17400,263.0
2,17500,266.0
2,17600,270.0
2,17700,273.0
2,17800,276.0
2,17900,279.0
2,18000,283.0
2,18100,286.0
2,18200,290.0
2,18300,293.0
2,18400,296.0
2,18500,299.0
2,18600,303.0
2,18700,306.0
2,18800,309.0
2,18900,313.0
2,19000,316.0
2,19100,317.0
2,19200,318.0
2,19300,318.0
2,19400,319.0
2,19500,320.0
2,19600,321.0
2,19700,322.0
2,19800,322.0
2,19900,323.0
2,20000,324.0
2,20100,325.0
2,20200,326.0
2,20300,327.0
2,20400,329.0
2,20500,330.0
2,20600,331.0
2,20700,332.0
2,20800,333.0
2,20900,334.0
2,21000,335.0
2,21100,336.0
2,21200,338.0
2,21300,339.0
2,21400,340.0
2,21500,342.0
2,21600,343.0
2,21700,344.0
2,21800,346.0
2,21900,347.0
2,22000,348.0
2,22100,349.0
2,22200,351.0
2,22300,352.0
2,22400,354.0
2,22500,355.0
2,22600,356.0
2,22700,358.0
2,22800,359.0
2,22900,361.0
2,23000,362.0
2,23100,363.0
2,23200,365.0
2,23300,366.0
2,23400,367.0
2,23500,369.0
2,23600,370.0
2,23700,371.0
2,23800,373.0
2,23900,374.0
2,24000,375.0
2,24100,376.0
2,24200,378.0
2,24300,379.0
2,24400,381.0
2,24500,382.0
2,24600,383.0
2,24700,385.0
2,24800,386.0
2,24900,387.0
2,25000,389.0
2,25100,391.0
2,25200,392.0
2,25300,394.0
2,25400,396.0
2,25500,398.0
2,25600,399.0
2,25700,401.0
2,25800,403.0
2,25900,404.0
2,26000,406.0
2,26100,408.0
2,26200,410.0
2,26300,412.0
2,26400,414.0
2,26500,416.0
2,26600,418.0
2,26700,420.0
2,26800,422.0
2,26900,425.0
2,27000,427.0
2,27100,429.0
2,27200,431.0
2,27300,433.0
2,27400,435.0
2,27500,437.0
2,27600,439.0
2,27700,441.0
2,27800,443.0
2,27900,445.0
2,28000,447.0
2,28100,449.0
2,28200,451.0
2,28300,453.0
2,28400,455.0
2,28500,457.0
2,28600,459.0
2,28700,462.0
2,28800,464.0
2,28900,466.0
2,29000,468.0
2,29100,470.0
2,29200,471.0
2,29300,473.0
